game_id,date,team1,team2,goal1,goal2,description
0,11-6-2021,Турция,Италия,0,3,ЧЕ-2020 Группа A тур 1
1,12-6-2021,Уэльс,Швейцария,1,1,ЧЕ-2020 Группа A тур 1
2,12-06-2021,Дания,Финляндия,0,1,ЧЕ-2020 Группа B тур 1
3,12-06-2021,Бельгия,Россия,3,0,ЧЕ-2020 Группа B тур 1
4,13-06-2021,Англия,Хорватия,1,0,ЧЕ-2020 Группа D тур 1
5,13-06-2021,Австрия,Северная Македония,3,1,ЧЕ-2020 Группа C тур 1
6,13-06-2021,Нидерланды,Украина,3,2,ЧЕ-2020 Группа C тур 1
7,14-06-2021,Шотландия,Чехия,0,2,ЧЕ-2020 Группа D тур 1
8,14-06-2021,Польша,Словакия,1,2,ЧЕ-2020 Группа E тур 1
9,14-06-2021,Испания,Швеция,0,0,ЧЕ-2020 Группа E тур 1
10,15-06-2021,Венгрия,Португалия,0,3,ЧЕ-2020 Группа F тур 1
11,15-06-2021,Франция,Германия,1,0,ЧЕ-2020 Группа F тур 1
12,16-06-2021,Финляндия,Россия,0,1,ЧЕ-2020 Группа B тур 2
13,16-06-2021,Турция,Уэльс,0,2,ЧЕ-2020 Группа A тур 2
14,16-06-2021,Италия,Швейцария,3,0,ЧЕ-2020 Группа A тур 2
15,17-06-2021,Украина,Северная Македония,2,1,ЧЕ-2020 Группа C тур 2
16,17-06-2021,Дания,Бельгия,1,2,ЧЕ-2020 Группа B тур 2
17,17-06-2021,Нидерланды,Австрия,2,0,ЧЕ-2020 Группа C тур 2
18,18-06-2021,Швеция,Словакия,1,0,ЧЕ-2020 Группа E тур 2
19,18-06-2021,Хорватия,Чехия,1,1,ЧЕ-2020 Группа D тур 2
20,18-06-2021,Англия,Шотландия,0,0,ЧЕ-2020 Группа D тур 2
21,19-06-2021,Венгрия,Франция,1,1,ЧЕ-2020 Группа F тур 2
22,19-06-2021,Португалия,Германия,2,4,ЧЕ-2020 Группа F тур 2
23,19-06-2021,Испания,Польша,1,1,ЧЕ-2020 Группа E тур 2
24,20-06-2021,Италия,Уэльс,1,0,ЧЕ-2020 Группа A тур 3
25,20-06-2021,Швейцария,Турция,3,1,ЧЕ-2020 Группа A тур 3
26,21-06-2021,Украина,Австрия,0,1,ЧЕ-2020 Группа C тур 3
27,21-06-2021,Северная Македония,Нидерланды,0,3,ЧЕ-2020 Группа C тур 3
28,21-06-2021,Финляндия,Бельгия,0,2,ЧЕ-2020 Группа B тур 3
29,21-06-2021,Россия,Дания,1,4,ЧЕ-2020 Группа B тур 3
30,22-06-2021,Хорватия,Шотландия,3,1,ЧЕ-2020 Группа D тур 3
31,22-06-2021,Чехия,Англия,0,1,ЧЕ-2020 Группа D тур 3
32,23-06-2021,Швеция,Польша,3,2,ЧЕ-2020 Группа E тур 3
33,23-06-2021,Словакия,Испания,0,5,ЧЕ-2020 Группа E тур 3
34,23-06-2021,Португалия,Франция,2,2,ЧЕ-2020 Группа F тур 3
35,23-06-2021,Германия,Венгрия,2,2,ЧЕ-2020 Группа F тур 3
36,26-06-2021,Уэльс,Дания,0,4,ЧЕ-2020 1/8 финала	
37,26-06-2021,Италия,Австрия,2,1,(ДВ) ЧЕ-2020 1/8 финала	
38,27-06-2021,Нидерланды,Чехия,0,2,ЧЕ-2020 1/8 финала	
39,27-06-2021,Бельгия,Португалия,1,0,ЧЕ-2020 1/8 финала	
40,28-06-2021,Хорватия,Испания,3,5,(ДВ) ЧЕ-2020 1/8 финала	
41,28-06-2021,Франция,Швейцария,3,3,пен 4 : 5 ЧЕ-2020 1/8 финала	
42,29-06-2021,Англия,Германия,2,0,ЧЕ-2020 1/8 финала
43,29-06-2021,Швеция,Украина,1,2,(ДВ) ЧЕ-2020 1/8 финала	
44,02-07-2021,Швейцария,Испания,1,1, пен 1 : 3 ЧЕ-2020 1/4 финала
45,02-07-2021,Бельгия,Италия,1,2,ЧЕ-2020 1/4 финала
46,03-07-2021,Чехия,Дания,1,2,ЧЕ-2020 1/4 финала
47,03-07-2021,Украина,Англия,0,4,ЧЕ-2020 1/4 финала
48,06-07-2021,Италия,Испания,1,1, пен 4 : 2	ЧЕ-2020 1/2 финала
49,07-07-2021,Англия,Дания,2,1, (ДВ) ЧЕ-2020 1/2 финала
50,11-07-2021,Италия,Англия,1,1, пен 3 : 2 ЧЕ-2020 финал
51,10-06-2016,Франция,Румыния,2,1,ЧЕ-2016 Группа A тур 1
52,11-06-2016,Албания,Швейцария,0,1,ЧЕ-2016 Группа A тур 1
53,15-06-2016,Румыния,Швейцария,1,1,ЧЕ-2016 Группа A тур 2
54,15-06-2016,Франция,Албания,2,0,ЧЕ-2016 Группа A тур 2
55,19-06-2016,Швейцария,Франция,0,0,ЧЕ-2016 Группа A тур 3
56,19-06-2016,Румыния,Албания,0,1,ЧЕ-2016 Группа A тур 3
57,11-06-2016,Уэльс,Словакия,2,1,ЧЕ-2016 Группа B тур 1
58,11-06-2016,Англия,Россия,1,1,ЧЕ-2016 Группа B тур 1
59,15-06-2016,Россия,Словакия,1,2,ЧЕ-2016 Группа B тур 2
60,16-06-2016,Англия,Уэльс,2,1,ЧЕ-2016 Группа B тур 2
61,20-06-2016,Словакия,Англия,0,0,ЧЕ-2016 Группа B тур 3
62,20-06-2016,Россия,Уэльс,0,3,ЧЕ-2016 Группа B тур 3
63,12-06-2016,Польша,Северная Ирландия,1,0,ЧЕ-2016 Группа C тур 1
64,12-06-2016,Германия,Украина,2,0,ЧЕ-2016 Группа C тур 1
65,16-06-2016,Украина,Северная Ирландия,0,2,ЧЕ-2016 Группа C тур 1
66,16-06-2016,Германия,Польша,0,0,ЧЕ-2016 Группа C тур 2
67,21-06-2016,Украина,Польша,0,1,ЧЕ-2016 Группа C тур 3
68,21-06-2016,Северная Ирландия,Германия,0,1,ЧЕ-2016 Группа C тур 3
69,12-06-2016,Турция,Хорватия,0,1,ЧЕ-2016 Группа D тур 1
70,13-06-2016,Испания,Чехия,1,0,ЧЕ-2016 Группа D тур 1
71,17-06-2016,Чехия,Хорватия,2,2,ЧЕ-2016 Группа D тур 2
72,17-06-2016,Испания,Турция,3,0,ЧЕ-2016 Группа D тур 2
73,21-06-2016,Хорватия,Испания,2,1,ЧЕ-2016 Группа D тур 3
74,21-06-2016,Чехия,Турция,0,2,ЧЕ-2016 Группа D тур 3
75,13-06-2016,Ирландия,Швеция,1,1,ЧЕ-2016 Группа E тур 1
76,13-06-2016,Бельгия,Италия,0,2,ЧЕ-2016 Группа E тур 1
77,17-06-2016,Италия,Швеция,1,0,ЧЕ-2016 Группа E тур 2
78,18-06-2016,Бельгия,Ирландия,3,0,ЧЕ-2016 Группа E тур 2
79,22-06-2016,Италия,Ирландия,0,1,ЧЕ-2016 Группа E тур 3
80,22-06-2016,Швеция,Бельгия,0,1,ЧЕ-2016 Группа E тур 3
81,14-06-2016,Австрия,Венгрия,0,2,ЧЕ-2016 Группа F тур 1
82,14-06-2016,Португалия,Исландия,1,1,ЧЕ-2016 Группа F тур 1
83,18-06-2016,Исландия,Венгрия,1,1,ЧЕ-2016 Группа F тур 2
84,18-06-2016,Португалия,Австрия,0,0,ЧЕ-2016 Группа F тур 2
85,22-06-2016,Венгрия,Португалия,3,3,ЧЕ-2016 Группа F тур 3
86,22-06-2016,Исландия,Австрия,2,1,ЧЕ-2016 Группа F тур 3
87,25-06-2016,Швейцария,Польша,1,1, пен 4 : 5 ЧЕ-2016 1/8 финала
88,25-06-2016,Уэльс,Северная Ирландия,1,0,ЧЕ-2016 1/8 финала
89,25-06-2016,Хорватия,Португалия,0,1,(ДВ) ЧЕ-2016 1/8 финала
90,26-06-2016,Франция,Ирландия,2,1,ЧЕ-2016 1/8 финала
91,26-06-2016,Германия,Словакия,3,0,ЧЕ-2016 1/8 финала
92,26-06-2016,Венгрия,Бельгия,0,4,ЧЕ-2016 1/8 финала
93,27-06-2016,Италия,Испания,2,0,ЧЕ-2016 1/8 финала
94,27-06-2016,Англия,Исландия,1,2,ЧЕ-2016 1/8 финала
95,30-06-2016,Польша,Португалия,1,1,пен 3 : 5 ЧЕ-2016 1/4 финала
96,01-07-2016,Уэльс,Бельгия,3,1,ЧЕ-2016 1/4 финала
97,02-07-2016,Германия,Италия,1,1,пен 6 : 5 ЧЕ-2016 1/4 финала
98,03-07-2016,Франция,Исландия,5,2,ЧЕ-2016 1/4 финала
99,06-07-2016,Португалия,Уэльс,2,0,ЧЕ-2016 1/2 финала
100,07-07-2016,Германия,Франция,0,2,ЧЕ-2016 1/2 финала
101,10-07-2016,Португалия,Франция,1,0,(ДВ) ЧЕ-2016 финал
102,08-06-2012,Польша,Греция,1,1,ЧЕ-2012 Группа A тур 1
103,08-06-2012,Россия,Чехия,4,1,ЧЕ-2012 Группа A тур 1
104,12-06-2012,Греция,Чехия,1,2,ЧЕ-2012 Группа A тур 2
105,12-06-2012,Польша,Россия,1,1,ЧЕ-2012 Группа A тур 2
106,16-06-2012,Чехия,Польша,1,0,ЧЕ-2012 Группа A тур 3
107,16-06-2012,Греция,Россия,1,0,ЧЕ-2012 Группа A тур 3
108,09-06-2012,Нидерланды,Дания,0,1,ЧЕ-2012 Группа B тур 1
109,09-06-2012,Германия,Португалия,1,0,ЧЕ-2012 Группа B тур 1
110,13-06-2012,Дания,Португалия,2,3,ЧЕ-2012 Группа B тур 2
111,13-06-2012,Нидерланды,Германия,1,2,ЧЕ-2012 Группа B тур 2
112,17-06-2012,Португалия,Нидерланды,2,1,ЧЕ-2012 Группа B тур 3
113,17-06-2012,Дания,Германия,1,2,ЧЕ-2012 Группа B тур 3
114,10-06-2012,Испания,Италия,1,1,ЧЕ-2012 Группа C тур 1
115,10-06-2012,Ирландия,Хорватия,1,3,ЧЕ-2012 Группа C тур 1
116,14-06-2012,Италия,Хорватия,1,1,ЧЕ-2012 Группа C тур 2
117,14-06-2012,Испания,Ирландия,4,0,ЧЕ-2012 Группа C тур 2
118,18-06-2012,Хорватия,Испания,0,1,ЧЕ-2012 Группа C тур 3
119,18-06-2012,Италия,Ирландия,2,0,ЧЕ-2012 Группа C тур 3
120,11-06-2012,Франция,Англия,1,1,ЧЕ-2012 Группа D тур 1
121,11-06-2012,Украина,Швеция,2,1,ЧЕ-2012 Группа D тур 1
122,15-06-2012,Украина,Франция,0,2,ЧЕ-2012 Группа D тур 2
123,15-06-2012,Швеция,Англия,2,3,ЧЕ-2012 Группа D тур 2
124,19-06-2012,Англия,Украина,1,0,ЧЕ-2012 Группа D тур 3
125,19-06-2012,Швеция,Франция,2,0,ЧЕ-2012 Группа D тур 3
126,21-06-2012,Чехия,Португалия,0,1,ЧЕ-2012 1/4 финала
127,22-06-2012,Германия,Греция,4,2,ЧЕ-2012 1/4 финала
128,23-06-2012,Испания,Франция,2,0,ЧЕ-2012 1/4 финала
129,24-06-2012,Англия,Италия,0,0,пен 2 : 4 ЧЕ-2012 1/4 финала
130,27-06-2012,Португалия,Испания,0,0,пен 2 : 4 ЧЕ-2012 1/2 финала
131,28-06-2012,Германия,Италия,1,2,ЧЕ-2012 1/2 финала
132,01-07-2012,Испания,Италия,4,0,ЧЕ-2012 финал
133,07-06-2008,Швейцария,Чехия,0,1,ЧЕ-2008 Группа A тур 1
134,07-06-2008,Португалия,Турция,2,0,ЧЕ-2008 Группа A тур 1
135,11-06-2008,Чехия,Португалия,1,3,ЧЕ-2008 Группа A тур 2
136,11-06-2008,Швейцария,Турция,1,2,ЧЕ-2008 Группа A тур 2
137,15-06-2008,Швейцария,Португалия,2,0,ЧЕ-2008 Группа A тур 3
138,15-06-2008,Турция,Чехия,3,2,ЧЕ-2008 Группа A тур 3
139,08-06-2008,Австрия,Хорватия,0,1,ЧЕ-2008 Группа B тур 1
140,08-06-2008,Германия,Польша,2,0,ЧЕ-2008 Группа B тур 1
141,12-06-2008,Хорватия,Германия,2,1,ЧЕ-2008 Группа B тур 2
142,12-06-2008,Австрия,Польша,1,1,ЧЕ-2008 Группа B тур 2
143,16-06-2008,Австрия,Германия,0,1,ЧЕ-2008 Группа B тур 3
144,16-06-2008,Польша,Хорватия,0,1,ЧЕ-2008 Группа B тур 3
145,09-06-2008,Румыния,Франция,0,0,ЧЕ-2008 Группа C тур 1
146,09-06-2008,Нидерланды,Италия,3,0,ЧЕ-2008 Группа C тур 1
147,13-06-2008,Италия,Румыния,1,1,ЧЕ-2008 Группа C тур 2
148,13-06-2008,Нидерланды,Франция,4,1,ЧЕ-2008 Группа C тур 2
149,17-06-2008,Нидерланды,Румыния,2,0,ЧЕ-2008 Группа C тур 3
150,17-06-2008,Франция,Италия,0,2,ЧЕ-2008 Группа C тур 3
151,10-06-2008,Испания,Россия,4,1,ЧЕ-2008 Группа D тур 1
152,10-06-2008,Греция,Швеция,0,2,ЧЕ-2008 Группа D тур 1
153,14-06-2008,Швеция,Испания,1,2,ЧЕ-2008 Группа D тур 2
154,14-06-2008,Греция,Россия,0,1,ЧЕ-2008 Группа D тур 2
155,18-06-2008,Греция,Испания,1,2,ЧЕ-2008 Группа D тур 3
156,18-06-2008,Россия,Швеция,2,0,ЧЕ-2008 Группа D тур 3
157,19-06-2008,Португалия,Германия,2,3,ЧЕ-2008 1/4 финала
158,20-06-2008,Хорватия,Турция,1,1,пен 1 : 3 ЧЕ-2008 1/4 финала
159,21-06-2008,Нидерланды,Россия,1,3,(ДВ) ЧЕ-2008 1/4 финала
160,22-06-2008,Испания,Италия,0,0,пен 4 : 2 ЧЕ-2008 1/4 финала
161,25-06-2008,Германия,Турция,3,2,ЧЕ-2008 1/2 финала 
162,26-06-2008,Россия,Испания,0,3,ЧЕ-2008 1/2 финала
163,29-06-2008,Германия,Испания,0,1,ЧЕ-2008 финал