num,name,team,birthdate,pos,country
3,Павел Давидович,Эллас Верона,20-5-1995,защ,13
4,Себастьян Валюкевич,Эмполи,5-4-2000,защ,13
5,Ян Беднарек,Саутгемптон,12-4-1996,защ,13
14,Якуб Кивёр,Арсенал,15-2-2000,защ,13
15,Тымотеуш Пухач,Кайзерслаутерн,23-1-1999,защ,13
18,Бартош Берешиньский,Эмполи,12-7-1992,защ,13
6,Якуб Пётровский,Лудогорец,4-10-1997,поз,13
8,Якуб Модер,Брайтон энд Хоув Альбион,7-4-1999,поз,13
10,Пётр Зелиньский,Наполи,20-5-1994,поз,13
11,Камиль Гросицкий,Погонь (Щецин),8-6-1988,поз,13
13,Тарас Романчук,Ягеллония,14-11-1991,поз,13
17,Дамиан Шиманьский,АЕК Афины,16-6-1995,поз,13
19,Пшемыслав Франковский,Ланс,12-4-1995,поз,13
20,Себастиан Шиманьский,Фенербахче,10-5-1999,поз,13
21,Никола Залевский,Рома,23-1-2002,поз,13
24,Бартош Слиш,Атланта Юнайтед,23-9-1999,поз,13
25,Михал Скурась,Брюгге,15-2-2000,поз,13
26,Кацпер Урбаньский,Болонья,7-9-2004,поз,13
7,Кароль Свидерский,Эллас Верона,23-1-1997,нап,13
9,Роберт Левандовский,Барселона,21-8-1988,нап,13
16,Адам Букса,Антальяспор,12-7-1996,нап,13
23,Кшиштоф Пёнтек,Истанбул Башакшехир,1-7-1995,нап,13
1,Барт Вербрюгген,Брайтон энд Хоув Альбион,18-8-2002,врт,14
13,Джастин Бейло,Фейеноорд,22-1-1998,врт,14
23,Марк Флеккен,Брентфорд,13-7-1993,врт,14
2,Лютсарел Гертрёйда,Фейеноорд,18-7-2000,защ,14
3,Маттейс де Лигт,Бавария,12-8-1999,защ,14
4,Вирджил ван Дейк,Ливерпуль,8-7-1991,защ,14
5,Натан Аке,Манчестер Сити,18-2-1995,защ,14
6,Стефан де Врей,Интер Милан,5-2-1992,защ,14
15,Микки ван де Вен,Тоттенхэм Хотспур,19-4-2001,защ,14
17,Дейли Блинд,Жирона,9-3-1990,защ,14
7,Хави Симонс,РБ Лейпциг,21-4-2003,поз,14
8,Джорджиньо Вейналдум,Аль-Иттифак,11-11-1990,поз,14
12,Джереми Фримпонг,Байер 04,10-12-2000,поз,14
14,Тиджани Рейндерс,Милан,29-7-1998,поз,14
16,Джоуи Верман,ПСВ,19-11-1998,поз,14
20,Иан Матсен,Боруссия Дортмунд,10-3-2002,поз,14
22,Дензел Дюмфрис,Интер Милан,18-4-1996,поз,14
24,Йерди Схаутен,ПСВ,12-1-1997,поз,14
26,Райан Гравенберх,Ливерпуль,16-5-2002,поз,14
9,Ваут Вегхорст,Хоффенхайм,7-8-1992,нап,14
10,Мемфис Депай,Атлетико Мадрид,13-2-1994,нап,14
11,Коди Гакпо,Ливерпуль,7-5-1999,нап,14
18,Дониелл Мален,Боруссия Дортмунд,19-1-1999,нап,14
19,Брайан Бробби,Аякс,1-2-2002,нап,14
21,Джошуа Зиркзе,Болонья,22-5-2001,нап,14
25,Стивен Бергвейн,Аякс,8-10-1997,нап,14
1,Хайнц Линднер,Юнион,17-7-1990,врт,15
12,Никлас Хедль,Рапид,17-3-2001,врт,15
13,Патрик Пенц,Брондбю,2-1-1997,врт,15
2,Максимилиан Вёбер,Боруссия Мёнхенгладбах,4-2-1998,защ,15
3,Гернот Траунер,Фейеноорд,25-3-1992,защ,15
4,Кевин Дансо,Ланс,19-9-1998,защ,15
5,Штефан Пош,Болонья,14-5-1997,защ,15
14,Леопольд Кверфельд,Рапид,20-12-2003,защ,15
15,Филипп Линхарт,Фрайбург,11-7-1996,защ,15
16,Филипп Мвене,Майнц 05,29-1-1994,защ,15
21,Флавиус Данилюк,Ред Булл Зальцбург,27-4-2001,защ,15
6,Николас Зайвальд,РБ Лейпциг,4-5-2001,поз,15
8,Александер Прасс,Штурм Грац,26-5-2001,поз,15
9,Марсель Забитцер,Боруссия Дортмунд,17-3-1994,поз,15
10,Флориан Гриллич,Хоффенхайм,7-8-1995,поз,15
17,Флориан Кайнц,Кёльн,24-10-1992,поз,15
18,Романо Шмид,Вердер,27-1-2000,поз,15
19,Кристоф Баумгартнер,РБ Лейпциг,1-8-1999,поз,15
20,Конрад Лаймер,Бавария,27-5-1997,поз,15
22,Маттиас Зайдль,Рапид,24-1-2001,поз,15
23,Патрик Виммер,Вольфсбург,30-5-2001,поз,15
26,Марко Грюлль,Рапид,6-7-1998,поз,15
7,Марко Арнаутович,Интер Милан,19-4-1989,нап,15
11,Михаэль Грегорич,Фрайбург,18-4-1994,нап,15
24,Андреас Вайман,Вест Бромвич Альбион,5-8-1991,нап,15
25,Максимилиан Энтруп,Хартберг,25-7-1997,нап,15
1,Брис Самба,Ланс,26-4-1994,врт,16
16,Майк Меньян,Милан,3-7-1995,врт,16
23,Альфонс Ареола,Вест Хэм Юнайтед,27-2-1993,врт,16
2,Бенжамен Павар,Интер Милан,28-3-1996,защ,16
3,Ферлан Менди,Реал Мадрид,8-6-1995,защ,16
4,Дайо Упамекано,Бавария,27-10-1998,защ,16
5,Жюль Кунде,Барселона,12-11-1998,защ,16
17,Вильям Салиба,Арсенал,24-3-2001,защ,16
21,Жонатан Клосс,Олимпик Марсель,25-9-1992,защ,16
22,Тео Эрнандес,Милан,6-10-1997,защ,16
24,Ибраима Конате,Ливерпуль,25-5-1999,защ,16
6,Эдуарду Камавинга,Реал Мадрид,10-11-2002,поз,16
8,Орельен Чуамени,Реал Мадрид,27-1-2000,поз,16
13,Н’Голо Канте,Аль-Иттихад,29-3-1991,поз,16
14,Адриен Рабьо,Ювентус,3-4-1995,поз,16
18,Варрен Заир-Эмри,Пари Сен-Жермен,8-3-2006,поз,16
19,Юссуф Фофана,Монако,10-1-1999,поз,16
7,Антуан Гризманн,Атлетико Мадрид,21-3-1991,нап,16
9,Оливье Жиру,Милан,30-9-1986,нап,16
10,Килиан Мбаппе,Пари Сен-Жермен,20-12-1998,нап,16
11,Усман Дембеле,Пари Сен-Жермен,15-5-1997,нап,16
12,Рандаль Коло Муани,Пари Сен-Жермен,5-12-1998,нап,16
15,Маркус Тюрам,Интер Милан,6-8-1997,нап,16
20,Кингсли Коман,Бавария,13-6-1996,нап,16
25,Брадли Баркола,Пари Сен-Жермен,2-9-2002,нап,16
1,Кун Кастелс,Вольфсбург,25-6-1992,врт,17
12,Томас Камински,Лутон Таун,23-10-1992,врт,17
13,Матц Селс,Ноттингем Форест,26-2-1992,врт,17
2,Зено Дебаст,Андерлехт,24-10-2003,защ,17
3,Артюр Теат,Ренн,25-5-2000,защ,17
4,Ваут Фас,Лестер Сити,3-4-1998,защ,17
5,Ян Вертонген,Андерлехт,24-4-1987,защ,17
15,Тома Мёнье,Трабзонспор,12-9-1991,защ,17
21,Тимоти Кастань,Фулхэм,5-12-1995,защ,17
25,Максим Де Кёйпер,Брюгге,22-12-2000,защ,17
6,Аксель Витсель,Атлетико Мадрид,12-1-1989,поз,17
7,Кевин Де Брёйне,Манчестер Сити,28-6-1991,поз,17
8,Юри Тилеманс,Астон Вилла,7-5-1997,поз,17
11,Янник Карраско,Аш-Шабаб (Эр-Рияд),4-9-1993,поз,17
16,Астер Вранкс,Вольфсбург,4-10-2002,поз,17
17,Шарль Де Кетеларе,Аталанта,10-3-2001,поз,17
18,Орель Мангаля,Олимпик Лион,18-3-1998,поз,17
23,Артур Вермерен,Атлетико Мадрид,7-2-2005,поз,17
24,Амаду Онана,Эвертон,16-8-2001,поз,17
9,Леандро Троссард,Арсенал,4-12-1994,нап,17
10,Ромелу Лукаку,Рома,13-5-1993,нап,17
14,Доди Лукебакио,Севилья,24-9-1997,нап,17
19,Йохан Бакайоко,ПСВ,20-4-2003,нап,17
20,Лоис Опенда,РБ Лейпциг,16-2-2000,нап,17
22,Жереми Доку,Манчестер Сити,27-5-2002,нап,17
1,Мартин Дубравка,Ньюкасл Юнайтед,15-1-1989,врт,18
12,Марек Родак,Фулхэм,13-12-1996,врт,18
23,Генрих Равас,Нью-Инглэнд Революшн,16-8-1997,врт,18
2,Петер Пекарик,Герта,30-10-1986,защ,18
3,Денис Вавро,Копенгаген,10-4-1996,защ,18
4,Адам Оберт,Кальяри,23-8-2002,защ,18
6,Норберт Дьомбер,Салернитана,3-7-1992,защ,18
14,Милан Шкриньяр,Пари Сен-Жермен,11-2-1995,защ,18
15,Вернон Де Марко,Хатта,18-11-1992,защ,18
16,Давид Ганцко,Фейеноорд,13-12-1997,защ,18
25,Себастьян Коша,Спартак (Трнава),13-9-2003,защ,18
5,Томаш Риго,Баник (Острава),3-7-2002,поз,18
8,Ондрей Дуда,Эллас Верона,5-12-1994,поз,18
11,Ласло Бенеш,Гамбург,9-9-1997,поз,18
13,Патрик Грошовский,Генк,22-4-1992,поз,18
19,Юрай Куцка,Слован (Братислава),26-2-1987,поз,18
21,Матуш Беро,Бохум,6-9-1995,поз,18
22,Станислав Лоботка,Наполи,25-11-1994,поз,18
7,Томаш Суслов,Эллас Верона,7-6-2002,нап,18
9,Роберт Боженик,Боавишта,18-11-1999,нап,18
10,Любомир Тупта,Слован (Либерец),27-3-1998,нап,18
17,Лукаш Гараслин,Спарта (Прага),26-3-1996,нап,18
18,Давид Стрелец,Слован (Братислава),4-4-2001,нап,18
20,Давид Дюриш,Асколи,22-3-1999,нап,18
24,Лео Сауэр,Фейеноорд,16-12-2005,нап,18
26,Иван Шранц,Славия (Прага),13-9-1993,нап,18
1,Флорин Ницэ,Газиантеп,3-7-1987,врт,19
12,Хорациу Молдован,Атлетико Мадрид,20-1-1998,врт,19
16,Штефан Тырновану,Стяуа,9-5-2000,врт,19
2,Андрей Рациу,Райо Вальекано,20-6-1998,защ,19
3,Раду Дрэгушин,Тоттенхэм Хотспур,3-2-2002,защ,19
4,Адриан Рус,Пафос,18-3-1996,защ,19
5,Йонуц Неделчару,Палермо,25-4-1996,защ,19
11,Никушор Банку,Университатя Крайова,18-9-1992,защ,19
15,Андрей Буркэ,Аль-Ухдуд,15-4-1993,защ,19
22,Василе Могош,ЧФР Клуж,31-10-1992,защ,19
24,Богдан Раковицан,Ракув,6-6-2000,защ,19
6,Мариус Марин,Пиза,30-8-1998,поз,19
8,Александру Чикылдэу,Коньяспор,8-7-1997,поз,19
10,Янис Хаджи,Алавес,22-10-1998,поз,19
13,Валентин Михэйлэ,Парма,2-2-2000,поз,19
14,Дариус Олару,Стяуа,3-3-1998,поз,19
17,Флоринел Коман,Стяуа,10-4-1998,поз,19
18,Рэзван Марин,Эмполи,23-5-1996,поз,19
20,Деннис Ман,Парма,26-8-1998,поз,19
21,Николае Станчу,Дамак,7-5-1993,поз,19
23,Деян Сореску,Газиантеп,29-8-1997,поз,19
26,Адриан Шут,Стяуа,30-4-1999,поз,19
7,Денис Алибек,Аль-Муайдар,5-1-1991,нап,19
9,Джордже Пушкаш,Бари,8-4-1996,нап,19
19,Денис Дрэгуш,Газиантеп,6-7-1999,нап,19
25,Даниэл Бырлиджа,ЧФР Клуж,19-4-2000,нап,19
1,Георгий Бущан,Динамо (Киев),31-5-1994,врт,20
12,Анатолий Трубин,Бенфика,1-8-2001,врт,20
23,Андрей Лунин,Реал Мадрид,11-2-1999,врт,20
2,Ефим Конопля,Шахтёр (Донецк),26-8-1999,защ,20
3,Александр Сваток,Днепр-1,27-9-1994,защ,20
4,Максим Таловеров,ЛАСК,28-7-2000,защ,20
13,Илья Забарный,Борнмут,1-9-2002,защ,20
16,Виталий Миколенко,Эвертон,29-5-1999,защ,20
21,Валерий Бондарь,Шахтёр (Донецк),27-2-1999,защ,20
22,Николай Матвиенко,Шахтёр (Донецк),2-5-1996,защ,20
24,Александр Тымчик,Динамо (Киев),20-1-1997,защ,20
26,Богдан Михайличенко,Полесье,21-3-1997,защ,20
5,Сергей Сидорчук,Вестерло,2-5-1991,поз,20
6,Тарас Степаненко,Шахтёр (Донецк),8-8-1989,поз,20
8,Руслан Малиновский,Дженоа,4-5-1993,поз,20
10,Михаил Мудрик,Челси,5-1-2001,поз,20
14,Георгий Судаков,Шахтёр (Донецк),1-9-2002,поз,20
15,Виктор Цыганков,Жирона,15-11-1997,поз,20
17,Александр Зинченко,Арсенал,15-12-1996,поз,20
18,Владимир Бражко,Динамо (Киев),23-1-2002,поз,20
19,Николай Шапаренко,Динамо (Киев),4-10-1998,поз,20
7,Андрей Ярмоленко,Динамо (Киев),23-10-1989,нап,20
9,Роман Яремчук,Валенсия,27-11-1995,нап,20
11,Артём Довбик,Жирона,21-6-1997,нап,20
20,Александр Зубков,Шахтёр (Донецк),3-8-1996,нап,20
25,Владислав Ванат,Динамо (Киев),4-1-2002,нап,20
1,Мерт Гюнок,Бешикташ,1-3-1989,врт,21
12,Алтай Байындыр,Манчестер Юнайтед,14-4-1998,врт,21
23,Угурджан Чакыр,Трабзонспор,5-4-1996,врт,21
2,Зеки Челик,Рома,17-2-1997,защ,21
3,Мерих Демирал,Аль-Ахли (Джидда),5-3-1998,защ,21
4,Самет Акайдын,Панатинаикос,13-3-1994,защ,21
13,Ахметджан Каплан,Аякс,16-1-2003,защ,21
14,Абдюлькерим Бардакджи,Галатасарай,7-9-1994,защ,21
18,Мерт Мюлдюр,Фенербахче,3-4-1999,защ,21
20,Ферди Кадиоглу,Фенербахче,7-10-1999,защ,21
5,Окай Йокушлу,Вест Бромвич Альбион,9-3-1994,поз,21
6,Оркун Кёкчю,Бенфика,29-12-2000,поз,21
10,Хакан Чалханоглу,Интер Милан,8-2-1994,поз,21
15,Салих Озджан,Боруссия Дортмунд,11-1-1998,поз,21
16,Исмаил Юксек,Фенербахче,26-1-1999,поз,21
22,Каан Айхан,Галатасарай,10-11-1994,поз,21
7,Керем Актюркоглу,Галатасарай,21-10-1998,нап,21
8,Арда Гюлер,Реал Мадрид,25-2-2005,нап,21
9,Дженк Тосун,Бешикташ,7-6-1991,нап,21
11,Юсуф Языджи,Лилль,29-1-1997,нап,21
17,Ирфан Джан Кахведжи,Фенербахче,15-7-1995,нап,21
19,Кенан Йылдыз,Ювентус,4-5-2005,нап,21
21,Барыш Йылмаз,Галатасарай,23-5-2000,нап,21
24,Семих Кылычсой,Бешикташ,15-8-2005,нап,21
25,Юнус Акгюн,Лестер Сити,7-7-2000,нап,21
26,Бертуг Йылдырым,Ренн,12-7-2002,нап,21
1,Георгий Лория,Динамо Тбилиси,27-1-1986,врт,22
12,Лука Гугешашвили,Карабах,29-4-1999,врт,22
25,Георгий Мамардашвили,Валенсия,29-9-2000,врт,22
3,Лаша Двали,АПОЭЛ,14-5-1995,защ,22
4,Гурам Кашия,Слован (Братислава),4-7-1987,защ,22
5,Соломон Кверквелия,Аль-Ухдуд,6-2-1992,защ,22
13,Георгий Гочолеишвили,Шахтёр (Донецк),14-2-2001,защ,22
14,Лука Лочошвили,Кремонезе,29-5-1998,защ,22
15,Георгий Гвелесиани,Персеполис,5-4-1991,защ,22
24,Джемал Табидзе,Панетоликос,18-3-1996,защ,22
2,Отар Какабадзе,Краковия,27-6-1995,поз,22
6,Георгий Кочорашвили,Леванте,19-6-1999,поз,22
10,Георгий Чакветадзе,Уотфорд,29-8-1999,поз,22
16,Ника Квеквескири,Лех Познань,29-5-1992,поз,22
17,Отар Китеишвили,Штурм Грац,26-3-1996,поз,22
18,Сандро Алтунашвили,Вольфсберг,19-5-1997,поз,22
20,Анзор Меквабишвили,Университатя Крайова,5-6-2001,поз,22
26,Габриэль Сигуа,Базель,30-6-2005,поз,22
7,Хвича Кварацхелия,Наполи,12-2-2001,нап,22
8,Буду Зивзивадзе,Карлсруэ,10-3-1994,нап,22
9,Зурико Давиташвили,Бордо,15-2-2001,нап,22
11,Георгий Квилитая,АПОЭЛ,1-4-1993,нап,22
19,Леван Шенгелия,Панетоликос,27-10-1995,нап,22
21,Георгий Цитаишвили,Динамо Батуми,18-11-2000,нап,22
22,Жорж Микаутадзе,Мец,31-10-2000,нап,22
23,Саба Лобжанидзе,Атланта Юнайтед,18-12-1994,нап,22
1,Руй Патрисиу,Рома,15-2-1988,врт,23
12,Жозе Са,Вулверхэмптон Уондерерс,17-1-1993,врт,23
22,Диогу Кошта,Порту,19-9-1999,врт,23
2,Нелсон Семеду,Вулверхэмптон Уондерерс,16-11-1993,защ,23
3,Пепе,Порту,26-2-1983,защ,23
4,Рубен Диаш,Манчестер Сити,14-5-1997,защ,23
5,Диогу Дало,Манчестер Юнайтед,18-3-1999,защ,23
13,Данилу Перейра,Пари Сен-Жермен,9-9-1991,защ,23
14,Гонсало Инасиу,Спортинг,25-8-2001,защ,23
19,Нуну Мендеш,Пари Сен-Жермен,19-6-2002,защ,23
20,Жуан Канселу,Барселона,27-5-1994,защ,23
24,Антониу Силва,Бенфика,30-10-2003,защ,23
6,Жуан Пальинья,Фулхэм,9-7-1995,поз,23
8,Бруну Фернандеш,Манчестер Юнайтед,8-9-1994,поз,23
10,Бернарду Силва,Манчестер Сити,10-8-1994,поз,23
15,Жуан Невеш,Бенфика,27-9-2004,поз,23
16,Матеус Нунес,Манчестер Сити,27-8-1998,поз,23
18,Рубен Невиш,Аль-Хиляль,13-3-1997,поз,23
23,Витинья,Пари Сен-Жермен,13-2-2000,поз,23
7,Криштиану Роналду,Ан-Наср (Эр-Рияд),5-2-1985,нап,23
9,Гонсалу Рамуш,Пари Сен-Жермен,20-6-2001,нап,23
11,Жуан Феликс,Барселона,10-11-1999,нап,23
17,Рафаэл Леан,Милан,10-6-1999,нап,23
21,Диогу Жота,Ливерпуль,4-12-1996,нап,23
25,Педру Нету,Вулверхэмптон Уондерерс,9-3-2000,нап,23
26,Франсишку Консейсан,Порту,14-12-2002,нап,23
1,Йиндржих Станек,Славия (Прага),27-4-1996,врт,24
16,Матей Коварж,Байер 04,17-5-2000,врт,24
23,Витезслав Ярош,Штурм,23-7-2001,врт,24
2,Давид Зима,Славия (Прага),8-11-2000,защ,24
3,Томаш Голеш,Славия (Прага),31-3-1993,защ,24
4,Робин Гранач,Виктория (Пльзень),29-1-2000,защ,24
5,Владимир Цоуфал,Вест Хэм Юнайтед,22-8-1992,защ,24
6,Мартин Витик,Спарта (Прага),21-1-2003,защ,24
12,Давид Доудера,Славия (Прага),31-5-1998,защ,24
15,Давид Юрасек,Хоффенхайм,7-8-2000,защ,24
18,Ладислав Крейчий,Спарта (Прага),20-4-1999,защ,24
24,Томаш Влчек,Славия (Прага),28-2-2001,защ,24
7,Антонин Барак,Фиорентина,3-12-1994,поз,24
8,Петр Шевчик,Славия (Прага),2-5-1994,поз,24
14,Лукаш Провод,Славия (Прага),23-10-1996,поз,24
17,Вацлав Черный,Вольфсбург,17-10-1997,поз,24
20,Ондржей Лингр,Фейеноорд,7-10-1998,поз,24
21,Лукаш Черв,Виктория (Пльзень),10-4-2001,поз,24
22,Томаш Соучек,Вест Хэм Юнайтед,27-2-1995,поз,24
25,Павел Шульц,Виктория (Пльзень),29-12-2000,поз,24
26,Матей Юрасек,Славия (Прага),30-8-2003,поз,24
9,Адам Гложек,Байер 04,25-7-2002,нап,24
10,Патрик Шик,Байер 04,24-1-1996,нап,24
11,Ян Кухта,Спарта (Прага),8-1-1997,нап,24
13,Моймир Хитил,Славия (Прага),29-4-1999,нап,24
19,Томаш Хорый,Виктория (Пльзень),26-1-1995,нап,24